Mayor's House Table chest,971111001,0,,,0x01CE4849,0x80,Fruit of Eden
Mayor's House Bed chest,971111002,0,,,0x01CE4849,0x40,Gourd
Mayor's House Chair chest,971111003,0,xiao,,0x01CE484A,0x02,Anti-Curse Amulet
Mayor's House Closet chest,971111004,0,xiao,,0x01CE484A,0x01,Pocket
Player's House Inside chest (storage),971111005,0,,Player's Storage,0x01CE4835,0x40,Repair Powder
Player's House Inside chest (bed),971111006,0,xiao,,0x01CE4835,0x80,Attack+
Player's House Inside chest (table),971111007,0,xiao,,0x01CE4836,0x01,Bread
Player's House Inside chest (sink),971111008,0,xiao,,0x01CE4836,0x02,Tasty Water
Player's House Barn chest (rake),971111009,0,,Player's House,0x01CE4837,0x01,Bread
Player's House Barn chest (feed),971111010,0,xiao,,0x01CE4837,0x02,Repair Powder
Player's House Barn chest (trough),971111011,0,xiao,,0x01CE4837,0x04,Gourd
Player's House Outside chest (barrels),971111012,0,,Player's Keg,0x01CE4834,0x10,Bread
Player's House Outside chest (fence),971111013,0,xiao,,0x01CE4834,0x20,Gourd
Player's House Outside chest (stairs),971111014,0,xiao,,0x01CE4834,0x40,Fruit of Eden
Macho's House Inside chest (cabinet),971111015,0,,Macho's Annex,0x01CE4839,0x20,Speed+
Macho's House Inside chest (punching bag),971111016,0,,Macho's Annex,0x01CE4839,0x10,Attack+
Macho's House Inside chest (bed),971111017,0,xiao,Macho's House,0x01CE4839,0x80,Endurance+
Macho's House Inside chest (table),971111018,0,xiao,Macho's House,0x01CE4839,0x40,Endurance+
Macho's House Outside chest (left side),971111019,0,,Macho's House,0x01CE4838,0x04,Bread
Macho's House Outside chest (behind),971111020,0,,Macho's House,0x01CE4838,0x08,Tasty Water
Laura's House Inside chest (shelf),971111021,0,xiao,Laura's House,0x01CE483C,0x04,Fruit of Eden
Laura's House Inside chest (bed),971111022,0,xiao,Laura's House,0x01CE483C,0x08,Powerup Powder
Laura's House Inside chest (sink),971111023,0,xiao,Laura's House,0x01CE483C,0x02,Tasty Water
Laura's House Inside chest (cabin),971111024,0,xiao,Laura's Cabin,0x01CE483C,0x01,Bread
Laura's House Outside chest (tricycle),971111025,0,xiao,Laura's House,0x01CE483A,0x80,Speed+
Laura's House Outside chest (behind),971111026,0,xiao,Laura's House,0x01CE483A,0x40,Gourd
Paige's House Inside chest (cabin),971111027,0,,Paige's House,0x01CE483E,0x20,Sky Hunter
Paige's House Inside chest (upstairs),971111028,0,,Paige's House,0x01CE483E,0x40,Stone Breaker
Paige's House Inside chest (fireplace),971111029,0,xiao,Paige's House,0x01CE483E,0x10,Repair Powder
Paige's House Outside chest (behind),971111030,0,,Paige's House,0x01CE483D,0x04,Beast Buster
Paige's House Outside chest (wheel),971111031,0,xiao,Paige's House,0x01CE483D,0x08,Undead Buster
Claude's House Inside chest (bed),971111032,0,,Claude's House,0x01CE4841,0x04,Speed+
Claude's House Inside chest (corner),971111033,0,,Claude's House,0x01CE4841,0x01,Beast Buster
Claude's House Inside chest (cabin),971111034,0,,Claude's Cabin,0x01CE4841,0x02,Bomb
Claude's House Inside chest (sink),971111035,0,xiao,Claude's House,0x01CE4841,0x08,Cheese
Claude's House Outside chest (behind),971111036,0,,Claude's House,0x01CE483F,0x40,Tasty Water
Claude's House Outside chest (candy box),971111037,0,,Claude's Candy Box,0x01CE483F,0x80,Bread
Hag's House Inside chest (table),971111038,0,xiao,Hag's House,0x01CE4842,0x80,Repair Powder
Hag's House Inside chest (fireplace),971111039,0,xiao,Hag's House,0x01CE4842,0x40,Powerup Powder
Hag's House Inside chest (sink),971111040,0,,Hag's House,0x01CE4842,0x20,Undead Buster
Hag's House Inside chest (cabin),971111041,0,,Hag's Cabin,0x01CE4842,0x10,Magic+
Hag's House Outside chest (front),971111042,0,,Hag's House,0x01CE4842,0x08,Dragon Slayer
Hag's House Outside chest (small jar),971111043,0,xiao,Hag's Jar,0x01CE4842,0x04,Gourd
Alnet's House Inside chest (sink),971111044,0,xiao,Alnet's Stairway,0x01CE4844,0x80,Dragon Slayer
Alnet's House Inside chest (table),971111045,0,,Alnet's Stairway,0x01CE4844,0x40,Plant Buster
Alnet's House Barn chest (buckets),971111046,0,,Alnet's House,0x01CE4848,0x40,Mimi
Alnet's House Barn chest (hay),971111047,0,xiao,Alnet's House,0x01CE4848,0x20,Fruit of Eden
Alnet's House Barn chest (trough),971111048,0,,Alnet's House,0x01CE4848,0x10,Gourd
Alnet's House Barn chest (cabin),971111049,0,,Alnet's Cabin,0x01CE4848,0x80,Repair Powder
Alnet's House Outside chest (barrels),971111050,0,,Alnet's House,0x01CE4843,0x10,Tasty Water
Alnet's House Outside chest (barn door),971111051,0,,Alnet's House,0x01CE4843,0x20,Prickly
Gaffer's Buggy chest (front),971111052,0,,Gaffer's Buggy,0x01CE4846,0x01,Speed+
Gaffer's Buggy chest (behind),971111053,0,,Gaffer's Buggy,0x01CE4846,0x02,Fluffy Doughnut
Dran's Windmill Inside chest (front barrels),971111056,0,,Dran's Windmill,0x01CE4847,0x04,Magic+
Dran's Windmill Inside chest (back barrel),971111057,0,xiao,Dran's Windmill,0x01CE4847,0x10,Attack+
Dran's Windmill Inside chest (pillar),971111058,0,,Dran's Windmill,0x01CE4847,0x08,Fire
Dran's Windmill Inside chest (closet),971111059,0,xiao,Dran's Windmill,0x01CE4847,0x20,Fruit of Eden
Dran's Windmill Inside chest (stairs mid),971111060,0,xiao,Dran's Windmill,0x01CE4847,0x40,Wind
Dran's Windmill Inside chest (stairs top),971111061,0,xiao,Dran's Windmill,0x01CE4847,0x80,Holy
Dran's Windmill Inside chest (under stairs),971111062,0,xiao,Dran's Windmill,0x01CE4848,0x01,Thunder
Dran's Windmill Outside chest (right),971111054,0,xiao,Dran's Windmill,0x01CE484C,0x04,Fish Candy
Dran's Windmill Outside chest (left),971111055,0,xiao,Dran's Windmill,0x01CE484C,0x08,Fluffy Doughnut
Dran's Windmill Horned Key chest,971111063,0,xiao,Dran's Sign,0x01CE4828,0x10,Horned Key
Norune Pond chest,971111064,0,xiao,Norune Pond,0x01CE484B,0x01,Fish Candy
Mr. Prickles' Gift,971111065,0,,,0x01CE43AE,0x02,Prickly
Matataki Treant chest 1,971112001,1,,Matataki River H,0x01CE4B95,0x01,Gourd
Matataki Treant chest 2,971112002,1,,Matataki River H,0x01CE4B95,0x02,Fruit of Eden
Matataki Treant chest 3,971112003,1,,Matataki River H,0x01CE4B95,0x04,Beast Buster
Matataki Treant chest 4,971112004,1,goro,Matataki River H,0x01CE4B95,0x08,Sky Hunter
Matataki Treant chest 5,971112005,1,goro,Matataki River H,0x01CE4B95,0x10,Grass Cake
Matataki Near Waterfall chest,971112006,1,,,0x01CE4896,0x04,Fluffy Doughnut
Matataki Pond chest,971112007,1,goro,,0x01CE4896,0x10,Fish Candy
Matataki Near Treant chest,971112008,1,goro,,0x01CE4896,0x08,Fluffy Doughnut
Matataki Goro sign chest,971112009,1,goro,,0x01CE4896,0x20,Fish Candy
Goro's House Inside chest (bed),971112010,1,goro,,0x01CE4B13,0x80,Fruit of Eden
Goro's House Inside chest (ladder),971112011,1,goro,,0x01CE4B13,0x40,Pocket
Goro's House Inside chest (bucket),971112012,1,goro,,0x01CE4B14,0x01,Premium Chicken
Goro's House Inside chest (table),971112013,1,goro,,0x01CE4B14,0x02,Beast Buster
Goro's House Outside chest (left log),971112014,1,,,0x01CE4B12,0x20,Mimic Breaker
Goro's House Outside chest (firewood),971112015,1,,,0x01CE4B12,0x10,Gourd
Goro's House Outside chest (behind),971112016,1,goro,,0x01CE4B12,0x80,Grass Cake
Goro's House Outside chest (up ladder),971112017,1,goro,,0x01CE4B12,0x40,Bomb
Pao's House Inside chest (bed table),971112018,1,,Pao's Stairway,0x01CE4875,0x80,Beast Buster
Pao's House Inside chest (bench),971112019,1,,Pao's Stairway,0x01CE4875,0x40,Fruit of Eden
Pao's House Inside chest (bed),971112020,1,,Pao's Stairway,0x01CE4876,0x01,Fire
Pao's House Outside chest (ground),971112021,1,,Pao's House,0x01CE4874,0x20,Plant Buster
Pao's House Outside chest (upstairs),971112022,1,,Pao's Stairway,0x01CE4874,0x10,Bread
Pao's House Outside chest (laundry),971112023,1,,Pao's Stairway,0x01CE4874,0x40,Repair Powder
Cacao's House Inside chest (wall shelf),971112024,1,,Cacao's Stairway,0x01CE4878,0x04,Cheese
Cacao's House Inside chest (bench),971112025,1,goro,Cacao's Cabin,0x01CE4878,0x08,Plant Buster
Cacao's House Outside chest (ground 1),971112026,1,,Cacao's House,0x01CE4877,0x01,Mage Slayer
Cacao's House Outside chest (ground 2),971112027,1,,Cacao's House,0x01CE4877,0x02,Thunder
Cacao's House Outside chest (laundry),971112028,1,goro,,0x01CE4877,0x04,Throbbing Cherry
Bunbuku's House Inside chest (downstairs),971112029,1,,Bunbuku's Stairway,0x01CE487A,0x40,Bread
Bunbuku's House Outside chest (behind),971112032,1,,Bunbuku's Stairway,0x01CE4879,0x10,Fruit of Eden
Bunbuku's House Outside chest (barrels),971112033,1,goro,Bunbuku's House,0x01CE4879,0x20,Wind
Kye's House Inside chest (sink),971112034,1,goro,Kye's Stairway,0x01CE487D,0x08,Cheese
Kye's House Inside chest (upper bunk),971112035,1,,Kye's Stairway,0x01CE487D,0x10,Mimic Breaker
