    "Mayor's House Table chest": 971111001
    "Mayor's House Bed chest":  971111002
    "Mayor's House Chair chest":  971111003
    "Mayor's House Closet chest":  971111004

    "Player's House inside chest (storage)": 971111005
    "Player's House inside chest (bed)": 971111005
    "Player's House inside chest (table)": 971111005
    "Player's House inside chest (sink)": 971111005
    "Player's House Barn chest (rake)": 971111005
    "Player's House Barn chest (feed)": 971111005
    "Player's House Barn chest (trough)": 971111005
    "Player's House outside chest (barrels)": 971111005
    "Player's House outside chest (fence)": 971111006
    "Player's House outside chest (stairs)": 971111007

    "Macho's House inside chest (cabinet)": 971111005
    "Macho's House inside chest (punching bag)": 971111005
    "Macho's House inside chest (bed)": 971111005
    "Macho's House inside chest (table)": 971111005
    "Macho's House outside chest (left side)": 971111006
    "Macho's House outside chest (behind)": 971111006

    "Laura's House inside chest (shelf)": 971111005
    "Laura's House inside chest (bed)": 971111005
    "Laura's House inside chest (sink)": 971111005
    "Laura's House inside chest (storage)": 971111005
    "Laura's House outside chest (tricycle)": 971111006
    "Laura's House outside chest (right)": 971111006

    "Paige's House Inside chest (storage)": 971111005
    "Paige's House Inside chest (upstairs)": 971111005
    "Paige's House Inside chest (bed)": 971111005
    "Paige's House Outside chest (behind)": 971111006
    "Paige's House Outside chest (wheel)": 971111006

    "Claude's House Inside chest (bed)": 971111005
    "Claude's House Inside chest (corner)": 971111005
    "Claude's House Inside chest (storage)": 971111005
    "Claude's House Inside chest (sink)": 971111005
    "Claude's House Outside chest (behind)": 971111006
    "Claude's House Outside chest (candy box)": 971111006

    "Hag's House Inside chest (table)": 971111005
    "Hag's House Inside chest (fireplace)": 971111005
    "Hag's House Inside chest (sink)": 971111005
    "Hag's House Inside chest (storage)": 971111005
    "Hag's House Outside chest (front)": 971111006
    "Hag's House Outside chest (urns)": 971111006

    "Alnet's House inside chest (sink)": 971111005
    "Alnet's House inside chest (table)": 971111005
    "Alnet's House Barn chest (buckets)": 971111005
    "Alnet's House Barn chest (hay)": 971111005
    "Alnet's House Barn chest (trough)": 971111005
    "Alnet's House Barn chest (cabin)": 971111005
    "Alnet's House outside chest (barrels)": 971111006
    "Alnet's House outside chest (barn door)": 971111006

    "Gaffer's Buggy chest (front)": 0
    "Gaffer's Buggy chest (behind)": 0

    "Dran's Windmill outside chest (right)": 0
    "Dran's Windmill outside chest (left)": 0
    "Dran's Windmill inside chest (?)": 0
    "Dran's Windmill inside chest (barrels)": 0
    "Dran's Windmill inside chest (pillar)": 0
    "Dran's Windmill inside chest (closet)": 0
    "Dran's Windmill inside chest (stairs mid)": 0
    "Dran's Windmill inside chest (stairs top)": 0
    "Dran's Windmill inside chest (under stairs)": 0

    "Norune Pond chest": 0



    "Treant chest 1": 0
    "Treant chest 2": 0
    "Treant chest 3": 0
    "Treant chest 4": 0
    "Treant chest 5": 0

    "Near Waterfall chest": 0
    "Matataki Pond chest": 0
    "Near Treant chest": 0
    "Goro sign chest": 0

    "Goro's House inside chest (bed)": 0
    "Goro's House inside chest (ladder)": 0
    "Goro's House inside chest (bucket)": 0
    "Goro's House inside chest (table)": 0
    "Goro's House outside chest (left log)": 0
    "Goro's House outside chest (??)": 0
    "Goro's House outside chest (behind)": 0
    "Goro's House outside chest (up ladder)": 0

    "Pao's House inside chest (bed table)": 0
    "Pao's House inside chest (bench)": 0
    "Pao's House inside chest (bed)": 0
    "Pao's House outside chest (ground)": 0
    "Pao's House outside chest (upstairs)": 0
    "Pao's House outside chest (laundry)": 0

    "Cacao's House inside chest (wall shelf)": 0
    "Cacao's House inside chest (bench)": 0
    "Cacao's House outside chest (ground 1)": 0
    "Cacao's House outside chest (ground 2)": 0
    "Cacao's House outside chest (laundry)": 0

    "Bunbuku's House inside chest (downstairs)": 0
